iter	Passed	Remaining
404	9552	14033
405	9574	14008
406	9597	13983
407	9620	13958
408	9642	13933
409	9668	13913
410	9691	13888
411	9717	13867
412	9742	13847
413	9769	13827
414	9792	13803
415	9818	13784
416	9846	13766
417	9872	13745
418	9899	13726
419	9925	13706
420	9948	13682
421	9974	13662
422	10000	13641
423	10026	13621
424	10049	13596
425	10075	13576
426	10101	13555
427	10123	13529
428	10146	13505
429	10169	13480
430	10192	13455
431	10216	13432
432	10241	13411
433	10264	13386
434	10293	13369
435	10316	13345
436	10342	13325
437	10370	13306
438	10396	13286
439	10420	13261
440	10446	13241
441	10468	13216
442	10491	13190
443	10515	13168
444	10541	13147
445	10568	13127
446	10595	13107
447	10622	13087
448	10645	13063
449	10667	13038
450	10693	13017
451	10716	12992
452	10742	12971
453	10769	12951
454	10795	12931
455	10822	12911
456	10848	12890
457	10871	12865
458	10897	12843
459	10923	12823
460	10946	12798
461	10972	12777
462	10998	12756
463	11021	12731
464	11047	12710
465	11074	12690
466	11100	12669
467	11127	12648
468	11153	12627
469	11179	12606
470	11202	12581
471	11229	12562
472	11252	12536
473	11278	12515
474	11300	12489
475	11328	12470
476	11355	12450
477	11377	12425
478	11400	12400
479	11422	12374
480	11448	12352
481	11474	12331
482	11500	12309
483	11526	12288
484	11549	12263
485	11571	12238
486	11598	12217
487	11624	12196
488	11647	12171
489	11670	12146
490	11697	12126
491	11720	12101
492	11743	12076
493	11768	12054
494	11791	12029
495	11813	12004
496	11839	11982
497	11861	11956
498	11886	11934
499	11908	11908
500	11935	11887
501	11957	11862
502	11980	11837
503	12005	11815
504	12032	11794
505	12060	11774
506	12086	11752
507	12113	11732
508	12139	11710
509	12166	11689
510	12192	11667
511	12216	11643
512	12243	11622
513	12266	11598
514	12291	11575
515	12317	11553
516	12344	11532
517	12367	11507
518	12393	11485
519	12419	11464
520	12443	11439
521	12469	11418
522	12495	11396
523	12521	11374
524	12547	11352
525	12573	11330
526	12595	11304
527	12618	11280
528	12644	11258
529	12670	11236
530	12693	11211
531	12720	11189
532	12736	11159
533	12759	11134
534	12782	11109
535	12808	11087
536	12834	11065
537	12860	11043
538	12886	11021
539	12909	10997
540	12936	10975
541	12962	10953
542	12988	10931
543	13011	10906
544	13034	10882
545	13057	10857
546	13083	10835
547	13111	10814
548	13137	10792
549	13164	10770
550	13192	10750
551	13218	10728
552	13244	10705
553	13273	10685
554	13300	10664
555	13326	10642
556	13353	10620
557	13375	10595
558	13398	10570
559	13421	10545
560	13448	10524
561	13476	10503
562	13503	10481
563	13525	10456
564	13548	10431
565	13574	10408
566	13600	10386
567	13623	10361
568	13649	10339
569	13672	10314
570	13697	10291
571	13718	10265
572	13741	10240
573	13767	10217
574	13793	10195
575	13815	10169
576	13841	10147
577	13868	10125
578	13894	10102
579	13921	10080
580	13943	10055
581	13969	10032
582	13997	10011
583	14022	9988
584	14045	9964
585	14072	9942
586	14099	9919
587	14122	9895
588	14145	9870
589	14173	9849
590	14199	9826
591	14221	9801
592	14244	9776
593	14267	9751
594	14294	9730
595	14321	9708
596	14343	9682
597	14369	9659
598	14392	9635
599	14419	9612
600	14446	9590
601	14468	9565
602	14494	9542
603	14516	9517
604	14542	9494
605	14567	9471
606	14590	9446
607	14613	9421
608	14636	9396
609	14658	9371
610	14684	9348
611	14710	9326
612	14737	9303
613	14761	9280
614	14785	9255
615	14801	9226
616	14824	9202
617	14849	9179
618	14876	9156
619	14902	9133
620	14928	9110
621	14944	9081
622	14967	9057
623	14993	9034
624	15019	9011
625	15045	8989
626	15068	8964
627	15095	8941
628	15117	8916
629	15143	8893
630	15170	8871
631	15192	8846
632	15218	8823
633	15241	8799
634	15267	8776
635	15294	8753
636	15317	8728
637	15343	8705
638	15366	8681
639	15392	8658
640	15417	8635
641	15443	8611
642	15470	8589
643	15492	8564
644	15518	8540
645	15543	8517
646	15569	8494
647	15595	8471
648	15618	8447
649	15644	8424
650	15666	8398
651	15693	8376
652	15720	8353
653	15742	8328
654	15769	8305
655	15792	8281
656	15818	8258
657	15845	8235
658	15871	8212
659	15898	8189
660	15925	8167
661	15951	8144
662	15974	8119
663	15996	8094
664	16023	8072
665	16048	8048
666	16070	8023
667	16096	8000
668	16119	7975
669	16141	7950
670	16163	7925
671	16191	7902
672	16217	7879
673	16239	7854
674	16265	7831
675	16289	7807
676	16314	7783
677	16336	7758
678	16361	7734
679	16384	7710
680	16406	7685
681	16432	7662
682	16455	7637
683	16482	7614
684	16505	7590
685	16531	7566
686	16556	7543
687	16583	7520
688	16609	7497
689	16635	7474
690	16657	7448
691	16683	7425
692	16710	7402
693	16731	7377
694	16757	7353
695	16780	7329
696	16806	7306
697	16831	7282
698	16857	7258
699	16882	7235
700	16908	7212
701	16931	7187
702	16953	7162
703	16979	7139
704	17003	7114
705	17026	7090
706	17052	7067
707	17079	7043
708	17101	7019
709	17124	6994
710	17148	6970
711	17175	6947
712	17197	6922
713	17222	6898
714	17248	6875
715	17275	6852
716	17302	6829
717	17322	6803
718	17348	6780
719	17364	6752
720	17386	6727
721	17412	6704
722	17435	6679
723	17462	6657
724	17489	6634
725	17514	6610
726	17537	6585
727	17564	6562
728	17590	6539
729	17616	6515
730	17643	6492
731	17665	6467
732	17692	6444
733	17714	6419
734	17740	6396
735	17767	6372
736	17793	6349
737	17816	6324
738	17842	6301
739	17863	6276
740	17889	6252
741	17916	6229
742	17942	6206
743	17968	6182
744	17992	6158
745	18014	6133
746	18040	6110
747	18068	6087
748	18095	6063
749	18120	6040
750	18147	6016
751	18173	5993
752	18199	5969
753	18222	5945
754	18245	5920
755	18268	5896
756	18295	5872
757	18320	5849
758	18343	5824
759	18367	5800
760	18389	5775
761	18416	5752
762	18438	5727
763	18461	5702
764	18489	5679
765	18515	5656
766	18542	5632
767	18568	5609
768	18596	5586
769	18619	5561
770	18645	5538
771	18668	5513
772	18694	5489
773	18717	5465
774	18744	5441
775	18767	5417
776	18793	5393
777	18820	5370
778	18846	5346
779	18872	5323
780	18899	5299
781	18924	5275
782	18950	5251
783	18978	5228
784	19000	5204
785	19027	5180
786	19050	5155
787	19073	5131
788	19099	5107
789	19125	5083
790	19153	5060
791	19179	5037
792	19206	5013
793	19232	4989
794	19258	4966
795	19284	4942
796	19311	4918
797	19339	4895
798	19361	4870
799	19388	4847
800	19414	4823
801	19441	4799
802	19467	4775
803	19494	4752
804	19522	4728
805	19548	4705
806	19574	4681
807	19600	4657
808	19623	4633
809	19649	4609
810	19676	4585
811	19702	4561
812	19725	4537
813	19751	4513
814	19773	4488
815	19799	4464
816	19826	4440
817	19849	4416
818	19872	4391
819	19898	4367
820	19924	4344
821	19946	4319
822	19969	4294
823	19992	4270
824	20018	4246
825	20040	4221
826	20066	4197
827	20093	4173
828	20119	4150
829	20143	4125
830	20165	4100
831	20192	4077
832	20218	4053
833	20241	4028
834	20268	4005
835	20292	3980
836	20315	3956
837	20343	3932
838	20366	3908
839	20392	3884
840	20419	3860
841	20446	3836
842	20471	3812
843	20497	3788
844	20523	3764
845	20545	3740
846	20568	3715
847	20593	3691
848	20616	3666
849	20641	3642
850	20667	3618
851	20690	3594
852	20716	3570
853	20739	3545
854	20765	3521
855	20787	3496
856	20809	3472
857	20835	3448
858	20858	3423
859	20886	3400
860	20909	3375
861	20936	3351
862	20962	3327
863	20984	3303
864	21010	3279
865	21035	3254
866	21061	3230
867	21084	3206
868	21110	3182
869	21137	3158
870	21163	3134
871	21188	3110
872	21214	3086
873	21240	3062
874	21266	3038
875	21292	3014
876	21319	2990
877	21341	2965
878	21366	2941
879	21388	2916
880	21414	2892
881	21440	2868
882	21462	2843
883	21488	2819
884	21515	2795
885	21537	2771
886	21562	2746
887	21588	2722
888	21614	2698
889	21637	2674
890	21660	2649
891	21682	2625
892	21704	2600
893	21727	2576
894	21753	2552
895	21775	2527
896	21801	2503
897	21827	2479
898	21853	2455
899	21875	2430
900	21897	2406
901	21923	2381
902	21949	2357
903	21975	2333
904	22002	2309
905	22027	2285
906	22049	2260
907	22071	2236
908	22094	2211
909	22117	2187
910	22142	2163
911	22165	2138
912	22191	2114
913	22214	2090
914	22240	2066
915	22266	2041
916	22292	2017
917	22314	1993
918	22340	1969
919	22365	1944
920	22390	1920
921	22412	1896
922	22437	1871
923	22463	1847
924	22485	1823
925	22513	1799
926	22539	1774
927	22567	1750
928	22592	1726
929	22619	1702
930	22646	1678
931	22671	1654
932	22697	1629
933	22720	1605
934	22742	1581
935	22768	1556
936	22791	1532
937	22817	1508
938	22840	1483
939	22868	1459
940	22891	1435
941	22917	1411
942	22943	1386
943	22966	1362
944	22992	1338
945	23019	1313
946	23045	1289
947	23068	1265
948	23094	1241
949	23117	1216
950	23144	1192
951	23170	1168
952	23196	1144
953	23222	1119
954	23249	1095
955	23271	1071
956	23294	1046
957	23320	1022
958	23347	998
959	23370	973
960	23396	949
961	23419	925
962	23446	900
963	23472	876
964	23494	852
965	23517	827
966	23544	803
967	23570	779
968	23596	754
969	23623	730
970	23649	706
971	23675	681
972	23696	657
973	23724	633
974	23746	608
975	23772	584
976	23796	560
977	23822	535
978	23846	511
979	23868	487
980	23894	462
981	23916	438
982	23944	414
983	23967	389
984	23993	365
985	24016	341
986	24039	316
987	24065	292
988	24088	267
989	24110	243
990	24134	219
991	24156	194
992	24182	170
993	24208	146
994	24234	121
995	24257	97
996	24283	73
997	24309	48
998	24335	24
999	24361	0
